epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3174.08,1.01543,0.65873,1.10559,0.96869,0.82384,0.9242,0.664,1.12934,0.52216,1.14468,0.001387,0.001387,0.001387
89,3210.1,1.02097,0.64474,1.10513,0.90412,0.86846,0.92474,0.66451,1.11873,0.5107,1.1332,0.001288,0.001288,0.001288
90,3246.23,1.02275,0.66337,1.10464,0.91958,0.8744,0.93083,0.6763,1.10717,0.51429,1.12724,0.001189,0.001189,0.001189
91,3284.46,1.00569,0.54383,1.09489,0.93254,0.84881,0.92852,0.67293,1.10833,0.52328,1.13026,0.00109,0.00109,0.00109
92,3320.2,0.98845,0.5236,1.09667,0.94959,0.84377,0.92896,0.66916,1.10121,0.52148,1.13526,0.000991,0.000991,0.000991
93,3355.7,0.96535,0.51143,1.07808,0.91733,0.87046,0.93061,0.67637,1.09991,0.51075,1.13076,0.000892,0.000892,0.000892
94,3391.24,0.96736,0.51786,1.08203,0.95297,0.84923,0.93559,0.68144,1.09345,0.50817,1.12576,0.000793,0.000793,0.000793
95,3426.82,0.96367,0.4975,1.08004,0.94995,0.85959,0.93803,0.68636,1.09137,0.50434,1.12188,0.000694,0.000694,0.000694
96,3462.46,0.95407,0.49455,1.07651,0.94654,0.86321,0.93463,0.68314,1.09536,0.50147,1.12711,0.000595,0.000595,0.000595
97,3498.01,0.95512,0.49773,1.06861,0.95855,0.84503,0.93623,0.68591,1.08466,0.50281,1.11596,0.000496,0.000496,0.000496
98,3533.65,0.95679,0.49966,1.07151,0.95462,0.85702,0.94135,0.6894,1.08715,0.49736,1.11745,0.000397,0.000397,0.000397
99,3569.25,0.93215,0.48881,1.06193,0.92079,0.88382,0.9386,0.68947,1.08392,0.49535,1.11605,0.000298,0.000298,0.000298
100,3604.82,0.93509,0.48193,1.06258,0.91491,0.88323,0.93845,0.68551,1.08905,0.49639,1.12151,0.000199,0.000199,0.000199
